Date,Ticker Pair,CHRONOBERT Strategy Return,BERT Strategy Return,Traditional Strategy Return,CHRONOBERT Cumulative Return,BERT Cumulative Return,Traditional Cumulative Return
2019-02-28,AMD-NVDA,,,,1.0,1.0,1.0
2019-03-31,AMD-NVDA,-0.0794357214284673,-0.0794357214284673,0.0794357214284673,1.0521169811844195,1.0521169811844195,1.0521169811844195
2019-04-30,AMD-NVDA,0.0746601760238492,0.0746601760238492,0.0746601760238492,0.9705176897577494,0.9705176897577494,0.9705176897577494
2019-05-31,AMD-NVDA,0.2427859080761483,0.2427859080761483,0.2427859080761483,1.0427296815766505,1.0427296815766505,1.0427296815766505
2019-06-30,AMD-NVDA,0.1043977369358117,0.1043977369358117,0.1043977369358117,1.064087031296256,1.021372331857045,1.064087031296256
2019-07-31,AMD-NVDA,0.0247054688123937,0.0247054688123937,0.0247054688123937,1.06010854938947,1.0175535546115078,1.06010854938947
2019-08-31,AMD-NVDA,-0.0390293870305515,-0.0390293870305515,0.0390293870305515,1.1416439262436473,1.095815929339396,1.1416439262436473
2019-09-30,AMD-NVDA,0.1173807945975401,0.1173807945975401,0.1173807945975401,1.0990143507481824,1.0548975949839456,1.1842735017391122
2019-10-31,AMD-NVDA,0.0155806332411063,0.0155806332411063,0.0155806332411063,1.202543665630983,0.9555241653232208,1.0727126070288318
2019-11-30,AMD-NVDA,0.0748494484299062,0.0748494484299062,0.0748494484299062,1.3248662534584323,0.8583283694660524,0.9635964178732005
2019-12-31,AMD-NVDA,-0.0857593976293442,-0.0857593976293442,-0.0857593976293442,1.1215141301904823,0.9900721556304387,0.8156951659269005
2020-01-31,AMD-NVDA,-0.0200559343683193,-0.0200559343683193,-0.0200559343683193,1.0753849875536072,0.9493493698371667,0.7821447026341548
2020-02-29,AMD-NVDA,0.1753070341662317,0.1753070341662317,-0.1753070341662317,1.059885370812945,0.9356663153443385,0.7708715834564852
2020-03-31,AMD-NVDA,0.0239568098350158,0.0239568098350158,0.0239568098350158,0.918526984324316,0.8108751971054028,0.6680593678828685
2020-04-30,AMD-NVDA,0.0476134637465173,0.0476134637465173,0.0476134637465173,0.9041514544483544,0.7981844859770412,0.6576038150620868
