Date,Ticker Pair,Traditional Spread,Traditional Position
2019-03-31,AMD-NVDA,-0.1430683340503827,Buy
2019-03-31,AMD-META,-0.39281252714362896,Buy
2019-03-31,NVDA-TSLA,-0.16349675844152356,Buy
2019-04-30,AMD-NVDA,0.07013916514963729,Sell
2019-04-30,AMD-META,-0.2554403784954718,Buy
2019-04-30,NVDA-TSLA,-0.22241425941582865,Buy
2019-05-31,AMD-NVDA,0.19492407771555967,Sell
2019-05-31,AMD-META,0.2841978657883518,Sell
2019-05-31,NVDA-TSLA,-0.15601998496518454,Buy
2019-06-30,AMD-META,0.16898739033242519,Sell
2019-06-30,NVDA-TSLA,-0.14013022636429348,Buy
2019-06-30,AMD-NVDA,0.1724068406463873,Sell
2019-07-31,NVDA-TSLA,0.11108166512986099,Sell
2019-07-31,AMD-NVDA,0.13423504529140426,Sell
2019-07-31,AMD-META,0.064281961097953,Sell
2019-08-31,NVDA-TSLA,-0.14330001783217006,Buy
2019-08-31,AMD-NVDA,0.18076198631896778,Sell
2019-08-31,AMD-META,0.13834205145520956,Sell
2019-09-30,NVDA-TSLA,-0.07739936076717924,Buy
2019-09-30,AMD-META,0.16057447435977573,Sell
2019-09-30,AMD-NVDA,-0.11121616712290266,Buy
2019-10-31,AMD-META,-0.09210264321499984,Buy
2019-10-31,NVDA-TSLA,-0.039758358204595515,Buy
2019-10-31,AMD-NVDA,0.06789601967702083,Sell
2019-11-30,AMD-META,-0.06633665526649898,Buy
2019-11-30,NVDA-TSLA,0.03883328294479917,Sell
2019-11-30,AMD-NVDA,0.08987900580545112,Sell
2019-12-31,AMD-META,0.06260881477889729,Sell
2019-12-31,NVDA-TSLA,0.15843780051893894,Sell
2019-12-31,AMD-NVDA,-0.026009183423799345,Buy
2020-01-31,NVDA-TSLA,0.20878175279512814,Sell
2020-01-31,AMD-NVDA,-0.35216621612762483,Buy
2020-01-31,AMD-META,0.24677850673244942,Sell
2020-02-29,AMD-NVDA,0.19331982049418495,Sell
2020-02-29,AMD-META,-0.0733331052609393,Buy
2020-02-29,NVDA-TSLA,0.20609966575306585,Sell
2020-03-31,AMD-NVDA,-0.2721162244253137,Buy
2020-03-31,AMD-META,-0.026714528536565706,Buy
2020-03-31,NVDA-TSLA,0.32800084690043896,Sell
2020-04-30,AMD-NVDA,-0.10893340282229529,Buy
2020-04-30,AMD-META,0.05248026703408773,Sell
2020-04-30,NVDA-TSLA,0.33937266651056247,Sell
