Date,Ticker_Pair,BERT_Spread,BERT_Position
2017-01-01,AAPL-MSFT,-0.20571208000183105,sell
2017-01-08,AAPL-MSFT,-0.1949472576379776,sell
2017-01-15,AAPL-MSFT,-0.20040619373321533,sell
2017-01-22,AAPL-MSFT,-0.20326204597949982,sell
2017-01-29,AAPL-MSFT,-0.1951189488172531,sell
2017-02-05,AAPL-MSFT,-0.2088780403137207,sell
2017-02-12,AAPL-MSFT,-0.20052304863929749,sell
2017-02-19,AAPL-MSFT,-0.1949518918991089,sell
2017-02-26,AAPL-MSFT,-0.20448628067970276,sell
2017-03-05,AAPL-MSFT,-0.20524908602237701,sell
2017-03-12,AAPL-MSFT,-0.19842085242271423,sell
2017-03-19,AAPL-MSFT,-0.1913057565689087,sell
2017-03-26,AAPL-MSFT,-0.20080028474330902,sell
2017-04-02,AAPL-MSFT,-0.19738340377807617,sell
2017-04-09,AAPL-MSFT,-0.19567687809467316,sell
2017-04-16,AAPL-MSFT,-0.2054140269756317,sell
2017-04-23,AAPL-MSFT,-0.193706676363945,sell
2017-04-30,AAPL-MSFT,-0.2001623660326004,sell
2017-05-07,AAPL-MSFT,-0.20156680047512054,sell
2017-05-14,AAPL-MSFT,-0.20396161079406738,sell
2017-05-21,AAPL-MSFT,-0.2063000649213791,sell
2017-05-28,AAPL-MSFT,-0.20659777522087097,sell
2017-06-04,AAPL-MSFT,-0.1993662267923355,sell
2017-06-11,AAPL-MSFT,-0.1934078484773636,sell
2017-06-18,AAPL-MSFT,-0.1971801221370697,sell
2017-06-25,AAPL-MSFT,-0.1997867077589035,sell
2017-07-02,AAPL-MSFT,-0.1979598104953766,sell
2017-07-09,AAPL-MSFT,-0.19939014315605164,sell
2017-07-16,AAPL-MSFT,-0.20517782866954803,sell
2017-07-23,AAPL-MSFT,-0.19304342567920685,sell
2017-07-30,AAPL-MSFT,-0.199621319770813,sell
2017-08-06,AAPL-MSFT,-0.20042334496974945,sell
2017-08-13,AAPL-MSFT,-0.1962864249944687,sell
2017-08-20,AAPL-MSFT,-0.20323961973190308,sell
2017-08-27,AAPL-MSFT,-0.1945415586233139,sell
2017-09-03,AAPL-MSFT,-0.19509893655776978,sell
2017-09-10,AAPL-MSFT,-0.19862468540668488,sell
2017-09-17,AAPL-MSFT,-0.19066737592220306,sell
2017-09-24,AAPL-MSFT,-0.19865697622299194,sell
2017-10-01,AAPL-MSFT,-0.19645382463932037,sell
2017-10-08,AAPL-MSFT,-0.18741437792778015,sell
2017-10-15,AAPL-MSFT,-0.18947730958461761,sell
2017-10-22,AAPL-MSFT,-0.19560888409614563,sell
2017-10-29,AAPL-MSFT,-0.18177300691604614,sell
2017-11-05,AAPL-MSFT,-0.1963532716035843,sell
2017-11-12,AAPL-MSFT,-0.19164475798606873,sell
2017-11-19,AAPL-MSFT,-0.18552778661251068,sell
2017-11-26,AAPL-MSFT,-0.1927073895931244,sell
2017-12-03,AAPL-MSFT,-0.1972072720527649,sell
2017-12-10,AAPL-MSFT,-0.19762881100177765,sell
2017-12-17,AAPL-MSFT,-0.1936367005109787,sell
2017-12-24,AAPL-MSFT,-0.19983135163784027,sell
