Date,Ticker Pair,Traditional Spread,Traditional Z-score,Traditional Position,Return,Position,Strategy Return,Strategy Net Return
2018-01-31,AMD-NVDA,0.8156321908722795,,Buy,,1,,
2018-02-28,AMD-NVDA,0.7043115841068215,-0.7071067811865476,Buy,,1,,
2018-03-31,AMD-NVDA,0.5618217525508484,-1.038328460241888,Buy,,1,,
2018-04-30,AMD-NVDA,0.6704883813502738,-0.168124025096347,Buy,,1,,
2018-05-31,AMD-NVDA,0.7880000693841724,0.7918730469106529,Sell,,-1,,
2018-06-30,AMD-NVDA,0.9383449188554488,1.4721589678109854,Sell,,-1,,
2018-07-31,AMD-NVDA,1.1064519601815146,1.7070718904828317,Sell,,-1,,
2018-08-31,AMD-NVDA,1.286490554055678,1.777534495740116,Sell,,-1,,
2018-09-30,AMD-NVDA,1.490059550752677,1.821263477814481,Sell,,-1,,
2018-10-31,AMD-NVDA,1.2489716497908998,0.9362359892738914,Sell,,-1,,
2018-11-30,AMD-NVDA,1.6593750013889768,1.7644831996884038,Sell,,-1,,
2018-12-31,AMD-NVDA,1.7185575308777024,1.6014241711990025,Sell,,-1,,
2019-01-31,AMD-NVDA,1.923969996776487,1.7408178418190172,Sell,,-1,,
2019-02-28,AMD-NVDA,1.815659422268576,1.3364951202407307,Sell,,-1,,
2019-03-31,AMD-NVDA,1.7449757195654525,1.0933621093964387,Sell,,-1,,
2019-04-30,AMD-NVDA,1.8164275326851536,1.1503811685315932,Sell,,-1,,
2019-05-31,AMD-NVDA,2.0971134861157754,1.549922763827838,Sell,,-1,,
2019-06-30,AMD-NVDA,2.00706912096135,1.2663290931287043,Sell,,-1,,
2019-07-31,AMD-NVDA,1.982727475507606,1.142016479986308,Sell,,-1,,
2019-08-31,AMD-NVDA,2.021248358224722,1.143102414539664,Sell,,-1,,
2019-09-30,AMD-NVDA,1.9013859435003329,0.8761176698962018,Sell,,-1,,
2019-10-31,AMD-NVDA,1.9147879590487695,0.8653598957709935,Sell,,-1,,
2019-11-30,AMD-NVDA,1.9818569839668976,0.9521420145206836,Sell,,-1,,
2019-12-31,AMD-NVDA,2.0578869119207357,1.0490419046513697,Sell,,-1,,
2020-01-31,AMD-NVDA,2.077650482361065,1.0405417058506046,Sell,,-1,,
2020-02-29,AMD-NVDA,1.9111485191657285,0.701544134462597,Sell,,-1,,
2020-03-31,AMD-NVDA,1.9353968913510635,0.7271140409418945,Sell,,-1,,
2020-04-30,AMD-NVDA,1.9735604651843093,0.7783397991497891,Sell,,-1,,
2020-05-31,AMD-NVDA,1.8056561719878796,0.4398184714732396,Sell,,-1,,
2020-06-30,AMD-NVDA,1.715072601970593,0.254983430973465,Sell,,-1,,
2020-07-31,AMD-NVDA,1.9903510193325935,0.7906343092519267,Sell,,-1,,
2020-08-31,AMD-NVDA,1.9187509353434795,0.6308133282552312,Sell,,-1,,
2020-09-30,AMD-NVDA,1.8045730392973884,0.3892700802238082,Sell,,-1,,
2020-10-31,AMD-NVDA,1.795824477656771,0.3649508138487134,Sell,,-1,,
2020-11-30,AMD-NVDA,1.9364924081859871,0.64856412692795,Sell,,-1,,
2020-12-31,AMD-NVDA,1.9520870257790224,0.6680880172884488,Sell,,-1,,
2021-01-31,AMD-NVDA,1.8886185308451304,0.5227690858236121,Sell,,-1,,
2021-02-28,AMD-NVDA,1.8210430223716096,0.3706805859217124,Sell,,-1,,
2021-03-31,AMD-NVDA,1.7739950226393997,0.2638431322400345,Sell,,-1,,
2021-04-30,AMD-NVDA,1.695672643225298,0.0887404218293787,Sell,,-1,,
2021-05-31,AMD-NVDA,1.5975535614425875,-0.1304487143514077,Buy,,1,,
2021-06-30,AMD-NVDA,1.5487448782435471,-0.2386645987214897,Buy,,1,,
