Date,Ticker Pair,Traditional Spread,Traditional Position
2019-02-28,AMD-NVDA,-1.319545758792775,Buy
2019-03-31,AMD-NVDA,-2.016620468400507,Buy
2019-04-30,AMD-NVDA,-1.311964874826298,Buy
2019-05-31,AMD-NVDA,1.4561297577698311,Sell
2019-06-30,AMD-NVDA,0.5681237075422904,Sell
2019-07-31,AMD-NVDA,0.3280628688044099,Sell
2019-08-31,AMD-NVDA,0.7079568825794664,Sell
2019-09-30,AMD-NVDA,-0.4741178298483646,Buy
2019-10-31,AMD-NVDA,-0.3419502273863911,Buy
2019-11-30,AMD-NVDA,0.3194804019492806,Sell
2019-12-31,AMD-NVDA,1.0692799749771782,Sell
2020-01-31,AMD-NVDA,1.2641857507336052,Sell
2020-02-29,AMD-NVDA,-0.3778387802863805,Buy
2020-03-31,AMD-NVDA,-0.1387070408721923,Buy
2020-04-30,AMD-NVDA,0.2675256360567895,Sell
2019-02-28,AMD-META,-1.055456151055568,Buy
2019-03-31,AMD-META,-0.840336624107039,Buy
2019-04-30,AMD-META,-1.142556157174777,Buy
2019-05-31,AMD-META,-0.8019842338748415,Buy
2019-06-30,AMD-META,-0.720477120614646,Buy
2019-07-31,AMD-META,-0.73673668494616,Buy
2019-08-31,AMD-META,-0.3986967905568077,Buy
2019-09-30,AMD-META,-0.5721613682741485,Buy
2019-10-31,AMD-META,-0.2056158548323481,Buy
2019-11-30,AMD-META,0.1975229188497859,Sell
2019-12-31,AMD-META,0.8110387818157461,Sell
2020-01-31,AMD-META,0.9899674127835788,Sell
2020-02-29,AMD-META,1.0555221088067748,Sell
2020-03-31,AMD-META,1.68081879379061,Sell
2020-04-30,AMD-META,1.7391509693898588,Sell
2019-02-28,NVDA-TSLA,-0.7355482542898482,Buy
2019-03-31,NVDA-TSLA,0.3581076168726365,Sell
2019-04-30,NVDA-TSLA,0.99819651042599,Sell
2019-05-31,NVDA-TSLA,0.8651532988058412,Sell
2019-06-30,NVDA-TSLA,0.882693497560786,Sell
2019-07-31,NVDA-TSLA,0.6868898402812387,Sell
2019-08-31,NVDA-TSLA,0.9255515309485468,Sell
2019-09-30,NVDA-TSLA,0.8219989304951235,Sell
2019-10-31,NVDA-TSLA,0.3466013179609971,Sell
2019-11-30,NVDA-TSLA,0.459363870569367,Sell
2019-12-31,NVDA-TSLA,-0.1350889466369187,Buy
2020-01-31,NVDA-TSLA,-1.8081236901420377,Buy
2020-02-29,NVDA-TSLA,-1.3975042525508268,Buy
2020-03-31,NVDA-TSLA,-0.5604518430970006,Buy
2020-04-30,NVDA-TSLA,-1.7078394272038957,Buy
