Date,Ticker Pair,Traditional_Spread,Position
2019-01-13,AAPL-MSFT,0.17636943338998803,Sell
2019-01-20,AAPL-MSFT,-0.1472765052351558,Buy
2019-01-27,AAPL-MSFT,0.10893514101683774,Sell
2019-02-03,AAPL-MSFT,0.8635319345175929,Sell
2019-02-10,AAPL-MSFT,0.008510491263884968,Sell
2019-02-17,AAPL-MSFT,-0.2007404358904969,Buy
2019-02-24,AAPL-MSFT,-0.11912135228816521,Buy
2019-03-03,AAPL-MSFT,-0.010263718755087678,Buy
2019-03-10,AAPL-MSFT,0.06629782129688279,Sell
2019-03-17,AAPL-MSFT,0.2548208698301549,Sell
2019-03-24,AAPL-MSFT,0.1587690223713923,Sell
2019-03-31,AAPL-MSFT,-0.10617824577817471,Buy
2019-04-07,AAPL-MSFT,0.19344254896744903,Sell
2019-04-14,AAPL-MSFT,0.01751388712043347,Sell
2019-04-21,AAPL-MSFT,0.0566384514339331,Sell
2019-04-28,AAPL-MSFT,-0.4357051921743489,Buy
2019-05-05,AAPL-MSFT,0.4009503646444151,Sell
2019-05-12,AAPL-MSFT,-0.44276235733404395,Buy
2019-05-19,AAPL-MSFT,-0.452629742146775,Buy
2019-05-26,AAPL-MSFT,-0.33055952437277186,Buy
2019-06-02,AAPL-MSFT,-0.0015873125849865549,Buy
2019-06-09,AAPL-MSFT,0.22113413242226,Sell
2019-06-16,AAPL-MSFT,0.061466588030059284,Sell
2019-06-23,AAPL-MSFT,-0.012851589004963273,Buy
2019-06-30,AAPL-MSFT,0.16756271122438712,Sell
2019-07-07,AAPL-MSFT,0.08892301960821905,Sell
2019-07-14,AAPL-MSFT,-0.14693912862346492,Buy
2019-07-21,AAPL-MSFT,0.1258388230236849,Sell
2019-07-28,AAPL-MSFT,-0.06880957987483288,Buy
2019-08-04,AAPL-MSFT,0.13099364550461062,Sell
2019-08-11,AAPL-MSFT,-0.13852395990086538,Buy
2019-08-18,AAPL-MSFT,0.32599087017609335,Sell
2019-08-25,AAPL-MSFT,0.02443611210020215,Sell
2019-09-01,AAPL-MSFT,-0.018323556028178457,Buy
2019-09-08,AAPL-MSFT,0.12351315029942475,Sell
2019-09-15,AAPL-MSFT,0.3519743738955643,Sell
2019-09-22,AAPL-MSFT,-0.1656762285694484,Buy
2019-09-29,AAPL-MSFT,0.1642133788433427,Sell
2019-10-06,AAPL-MSFT,0.3171616915401905,Sell
2019-10-13,AAPL-MSFT,0.26981429742065416,Sell
2019-10-20,AAPL-MSFT,0.1626962100884812,Sell
2019-10-27,AAPL-MSFT,0.1782320139762293,Sell
2019-11-03,AAPL-MSFT,0.15499954249102973,Sell
2019-11-10,AAPL-MSFT,0.05020194795672254,Sell
2019-11-17,AAPL-MSFT,-0.040047135804090354,Buy
2019-11-24,AAPL-MSFT,-0.1280272668203765,Buy
2019-12-01,AAPL-MSFT,0.09058540247760791,Sell
2019-12-08,AAPL-MSFT,0.10447832107879941,Sell
2019-12-15,AAPL-MSFT,-0.005170466571350342,Buy
2019-12-22,AAPL-MSFT,-0.01512044457157663,Buy
2019-12-29,AAPL-MSFT,0.25211819542574926,Sell
2019-01-13,GOOGL-META,-0.36227579693600886,Buy
2019-01-20,GOOGL-META,-0.03257127889190975,Buy
2019-01-27,GOOGL-META,-0.0021005553867182603,Buy
2019-02-03,GOOGL-META,-0.6262074532340463,Buy
2019-02-10,GOOGL-META,-0.16693761499349796,Buy
2019-02-17,GOOGL-META,0.27047391151796557,Sell
2019-02-24,GOOGL-META,-0.006066265722137788,Buy
2019-03-03,GOOGL-META,0.1541482931809916,Sell
2019-03-10,GOOGL-META,-0.29122233393764846,Buy
2019-03-17,GOOGL-META,0.3461337786035305,Sell
2019-03-24,GOOGL-META,0.14297379648160377,Sell
2019-03-31,GOOGL-META,-0.2653221356576186,Buy
2019-04-07,GOOGL-META,-0.17019763693917667,Buy
2019-04-14,GOOGL-META,-0.07558656982682915,Buy
2019-04-21,GOOGL-META,0.11403721181540767,Sell
2019-04-28,GOOGL-META,-0.29945300067821595,Buy
2019-05-05,GOOGL-META,-0.5819081247228044,Buy
2019-05-12,GOOGL-META,0.10229303378363322,Sell
2019-05-19,GOOGL-META,0.09631604792491573,Sell
2019-05-26,GOOGL-META,-0.031133403836359964,Buy
2019-06-02,GOOGL-META,-0.06573005776689785,Buy
2019-06-09,GOOGL-META,-0.08398296423280216,Buy
2019-06-16,GOOGL-META,-0.19845183221806048,Buy
2019-06-23,GOOGL-META,-0.12777781091680496,Buy
2019-06-30,GOOGL-META,-0.3148315153098327,Buy
2019-07-07,GOOGL-META,0.16829496848817307,Sell
2019-07-14,GOOGL-META,-0.21554575121669778,Buy
2019-07-21,GOOGL-META,0.11296493169256684,Sell
2019-07-28,GOOGL-META,0.5815536682020477,Sell
2019-08-04,GOOGL-META,0.07934111614019297,Sell
2019-08-11,GOOGL-META,-0.01257950003327106,Buy
2019-08-18,GOOGL-META,0.07612958605331781,Sell
