Model,MSE,R2,Return
CHRONOBERT,1.4901589039556897,-0.5796811811230371,0.9638066487321062
BERT,1.01014625090738,-0.07083145193744178,0.9638066487321062
Traditional,0.9140741746498294,0.03101221754814676,1.0099655256251903
