date,ticker_pair,CHRONOBERT_spread
2019-01-06,AMD-META,1.8022779716081452
2019-01-13,AMD-META,1.6536497456381838
2019-01-20,AMD-META,1.7252836482452558
2019-01-27,AMD-META,1.6609654446416684
2019-02-03,AMD-META,1.8908027774305545
2019-02-10,AMD-META,1.933749385284358
2019-02-17,AMD-META,1.7150115616153698
2019-02-24,AMD-META,1.5945184982932137
2019-03-03,AMD-META,1.2700020135714034
2019-03-10,AMD-META,1.6179815241504478
2019-03-17,AMD-META,1.4084195784628868
2019-03-24,AMD-META,1.4154914940159955
2019-03-31,AMD-META,1.2483080497302144
2019-04-07,AMD-META,1.316327895256272
2019-04-14,AMD-META,1.2185305362412642
2019-04-21,AMD-META,1.0575039827029293
2019-04-28,AMD-META,1.1812206206358944
2019-05-05,AMD-META,1.3905285438295145
2019-05-12,AMD-META,1.6277536315450565
2019-05-19,AMD-META,1.5393903788485694
2019-05-26,AMD-META,1.6431842884495822
2019-06-02,AMD-META,1.3617823910702178
2019-06-09,AMD-META,1.4542618301314718
2019-06-16,AMD-META,1.4741631475445836
2019-06-23,AMD-META,1.458928405154003
2019-06-30,AMD-META,1.4731329250340934
2019-07-07,AMD-META,1.2028853133375588
2019-07-14,AMD-META,1.4719243119898628
2019-07-21,AMD-META,1.2542691144186975
2019-07-28,AMD-META,1.297902035007656
2019-08-04,AMD-META,1.6668273503323405
2019-08-11,AMD-META,1.3565074989988624
2019-08-18,AMD-META,1.3757253765788917
2019-08-25,AMD-META,1.4925005990913025
2019-09-01,AMD-META,1.589428981185259
2019-09-08,AMD-META,1.5474469908167379
2019-09-15,AMD-META,1.6800560355726528
2019-09-22,AMD-META,1.758619483255515
2019-09-29,AMD-META,1.9433412594037236
2019-10-06,AMD-META,1.4744578780246762
2019-10-13,AMD-META,1.6617016508943472
2019-10-20,AMD-META,1.8269172625500403
2019-10-27,AMD-META,1.7562616265503728
2019-11-03,AMD-META,1.5257633936780728
2019-11-10,AMD-META,1.6304096648780035
2019-11-17,AMD-META,1.3534750347713604
2019-11-24,AMD-META,1.3065502791840622
2019-12-01,AMD-META,1.5034328388251055
2019-12-08,AMD-META,1.4955191975919941
2019-12-15,AMD-META,1.683374459534937
2019-12-22,AMD-META,1.6404968776044164
2019-12-29,AMD-META,1.8851647842278787
2019-01-06,TSLA-NVDA,1.1438119414847439
2019-01-13,TSLA-NVDA,1.3077807878732308
2019-01-20,TSLA-NVDA,1.49607208836081
2019-01-27,TSLA-NVDA,1.3123266736485188
2019-02-03,TSLA-NVDA,1.1983676416929487
