Date,Ticker Pair,Traditional Spread,Traditional Position
2019-02-28,AMD-NVDA,-0.0005323249470638894,Buy
2019-03-31,AMD-NVDA,-0.0015161254370743712,Buy
2019-04-30,AMD-NVDA,-0.0005216258394099484,Buy
2019-05-31,AMD-NVDA,0.0033850613756174408,Sell
2019-06-30,AMD-NVDA,0.002131794293473916,Sell
2019-07-31,AMD-NVDA,0.0017929899048947403,Sell
2019-08-31,AMD-NVDA,0.002329144655243187,Sell
2019-09-30,AMD-NVDA,0.000660850474882063,Sell
2019-10-31,AMD-NVDA,0.0008473822056613515,Sell
2019-11-30,AMD-NVDA,0.0017808772360786154,Sell
2019-12-31,AMD-NVDA,0.0028390897593382793,Sell
2020-01-31,AMD-NVDA,0.0031141655798381357,Sell
2020-02-29,AMD-NVDA,0.0007967317152015193,Sell
2020-03-31,AMD-NVDA,0.0011342248406444506,Sell
2020-04-30,AMD-NVDA,0.0017075520624079542,Sell
2019-02-28,AMD-META,-0.0001596081034923515,Buy
2019-03-31,AMD-META,0.00014399593364432793,Sell
2019-04-30,AMD-META,-0.00028253471023757977,Buy
2019-05-31,AMD-META,0.00019812370471888278,Sell
2019-06-30,AMD-META,0.0003131569097104168,Sell
2019-07-31,AMD-META,0.0002902093444979274,Sell
2019-08-31,AMD-META,0.0007672942382110869,Sell
2019-09-30,AMD-META,0.0005224789634555095,Sell
2019-10-31,AMD-META,0.00103979461235936,Sell
2019-11-30,AMD-META,0.00160875532435233,Sell
2019-12-31,AMD-META,0.0024746269422665263,Sell
2020-01-31,AMD-META,0.002727153783933349,Sell
2020-02-29,AMD-META,0.002819672908757718,Sell
2020-03-31,AMD-META,0.003702171121087359,Sell
2020-04-30,AMD-META,0.0037844969064686883,Sell
2019-02-28,NVDA-TSLA,0.00029188660899470004,Sell
2019-03-31,NVDA-TSLA,0.0018353928747118437,Sell
2019-04-30,NVDA-TSLA,0.0027387677331720244,Sell
2019-05-31,NVDA-TSLA,0.002551000231381397,Sell
2019-06-30,NVDA-TSLA,0.002575755190774066,Sell
2019-07-31,NVDA-TSLA,0.0022994121656686748,Sell
2019-08-31,NVDA-TSLA,0.002636241898535264,Sell
2019-09-30,NVDA-TSLA,0.00249009529808656,Sell
2019-10-31,NVDA-TSLA,0.0018191537222200713,Sell
2019-11-30,NVDA-TSLA,0.0019782985785488493,Sell
2019-12-31,NVDA-TSLA,0.0011393311554088598,Sell
2020-01-31,NVDA-TSLA,-0.0012218682652258665,Buy
2020-02-29,NVDA-TSLA,-0.0006423498888707864,Buy
2020-03-31,NVDA-TSLA,0.0005390049347011896,Sell
2020-04-30,NVDA-TSLA,-0.0010803343583733237,Buy
